siret;nom_etablissement;adresse;code_ape;code_postal;commune;pays;email;employes;ca;telephone;web
44 403 192 600 041;NUTREOV PHYTHEA;rue Maurice Gilbert;121;51480;Boursault;FRA;;8;979472;+33 3 26 58 42 21;http://www.champagne-chateau-de-boursault.fr/
33 791 953 400 020;;Rue Du 8 Mai;121;51530;Cramant;FRA;;1;;;http://www.vrankenpommery.fr
51 533 955 400 179;SAVEURS D'ANTOINE;Ferme Des Castaignes;;51270;Montmort-Lucy;FRA;;;;33 326 598 000;
77 570 963 700 059;;40 Rue Saint Vincent;121;51160;Hautvillers;FRA;champagne.locret.lachaud@wanadoo.fr;1;1205068;33 326 594 020;http://www.locret.com
43 211 303 300 034;ADP LE CRES;35 rue Pasteur;121;;Villers-Marmery;FRA;;;;+33 3 26 97 90 48;http://www.champagne-sadi-malot.com/fr/accueil/
81 390 515 500 020;MONSIEUR VINCENT FELQUIN;Rte De Champagne;121;51190;Blancs-Coteaux;FRA;info@dn.fr;6;;33 326 579 822;
33 975 263 600 078;LE PALAIS DES THES;57 avenue J Jaures;121;51190;Avize;FRA;;4;;+33 3 26 57 51 38;http://www.champagne-agrapart.com/
38 148 695 000 045;;;121;2310;Crouttes-Sur-Marne;FRA;;1;;33 323 821 818;http://www.champagne-derot-delugny.fr
38 748 920 600 038;LE HERON BLEU;Le Craon De Ludes;121;51500;Ludes;FRA;;3;3500;33 326 611 328;http://bereche.com/
41 198 646 600 034;AUX THES DE TIMOTHEE;Rte De Tincourt;121;51700;Villers-Sous-Chatillon;FRA;;;250;33 326 583 301;
48 011 124 400 012;;34 Rue Maurice Cerveaux;121;51200;;FRA;champagne.jacquinot@orange.fr;3;1347332;33 326 543 681;http://www.champagne-jacquinot.com
38 904 255 700 048;BIO COMMINGES;1 rue Grande Le Mesnil-Sur-Oger;121;51190;Le Mesnil-Sur-Oger;FRA;;6;;+33 3 26 57 53 86;
33 249 284 200 072;LE CHARANCON;10 Rue Fresnet Remy Pascal;121;51380;Verzy;FRA;champagnethill@free.fr;;;33 326 979 229;http://www.champagne-thill.com/
38 337 606 800 102;LE POIS TOUT VERT;1 rue Victor Hugo;121;51500;Ludes;FRA;;4;;+33 3 26 61 11 73;
80 465 081 000 034;MON BIO;41 Rue Robert Gerbaux;121;2570;Chezy-Sur-Marne;FRA;;1;;33 323 828 148;http://www.champagne-de-rekeneire-petit.com/
47 873 641 600 031;ST-BIO;;121;51130;Blancs-Coteaux;FRA;;;1404188;+33 3 26 52 16 50;http://www.champagne-doquet.com/
39 791 415 100 022;CYPRES SOC INITIATIVES RESPECT ENVIRON;rue Du Moulin;121;51120;Barbonne-Fayel;FRA;;1;;;
39 747 931 200 027;BIOTOPE RESEAU BIOCOOP;20 rue D'Oger;121;51190;Avize;FRA;;1;;+33 3 26 57 52 40;http://www.champagne-simon-selosse.fr/
41 968 589 600 039;SARL A2 DIS;Avenue Du General De Gaull;121;51130;Blancs-Coteaux;FRA;;;;33 326 521 324;http://www.larmandier.fr/
43 774 624 100 052;LE CHAT BIOTTE;9 Rue De Villers;121;51380;Verzy;FRA;;1;;33 326 979 363;
39 672 032 800 030;;10 Rue Des Gris;121;51190;Avize;FRA;;1;;33 326 575 105;https://champagnechalerouxghys.fr/
48 759 618 100 015;CARREFOUR OMNICANAL;3 rue De La Liberte;121;51500;Rilly-La-Montagne;FRA;;;;+33 3 26 03 42 71;
45 374 960 800 197;CAP NUTRITION;88 rue Du Reuil;121;51700;Villers-Sous-Chatillon;FRA;;7;;+33 3 26 58 05 78;http://www.jcharpentier.com/
42 241 979 600 020;;5 Rue Saint Francois;121;51270;Courjeonnet;FRA;;1;;33 326 593 157;http://champagne-ragot-nomine.fr/
48 766 350 200 234;NATURHOUSE;608 Rempart Du Nord;121;51190;Avize;FRA;;1;;33 326 577 905;
44 008 574 400 017;MME CHISTINE DECHAMPS;11 rue Gambetta;121;51500;Rilly-La-Montagne;FRA;;7;;+33 3 26 03 40 67;http://www.champagne-danieldumont.com/
64 568 002 600 111;DELPEYRAT;84 Rue Neuve;121;51530;Cramant;FRA;;;;33 326 575 492;http://diebolt-vallois.com/
30 701 909 100 098;COOPERATIVE GERMINAL;hameau De Chenevieres;121;51120;Saint-Quentin-Le-Verger;FRA;;4;;;
44 361 145 400 010;THE OU CAFE;5 Rue Des Capucines;121;51120;Broyes;FRA;;1;;33 326 805 447;http://www.champagne-olivier-collin.net/nous-contacter
49 391 719 900 074;;21 Rue Du Capitaine Chesnais;121;51170;Chaumuzy;FRA;;;;33 326 618 236;http://www.champagnesalmon.com/
44 070 991 300 022;LA COUR DES SAVEURS;;121;55160;Combres-Sous-Les-Cotes;FRA;;3;750;33 329 873 781;http://www.domainedemuzy.fr/
