;nom_etablissement;siret;adresse;code_ape;code_postal;commune;pays;email;employes;ca;telephone;web;Nom de l’entreprise;Identifiant Kompass;Civilité;Prénom;Deuxième prénom;nom;Fonction;Type de fonction;Dénomination commerciale;Numéro d’enregistrement (Siret, Siren…);Rue;Complément d’adresse;Code postal;ville;Département/District;Région;Pays;Etat;Boîte postale;Numéro de téléphone;Fax;Email;Site web;Effectif entreprise;Libellé NACE 2008;Code NACE 2008;Libellé NAF 2008;Code NAF 2008;Certifications;Forme juridique;Année de fondation;Type d’établissement;Pays d’export;Pays d’import;Chiffre d’affaires brut;Année du CA brut;Tranche du CA brut;Année du chiffre d’affaires d’exportation;Effectif à l’adresse;Chiffre d’affaires 2017
0;COOPERATIVE GERMINAL;30 701 909 100 098;85 RUE GEORGES POMPIDOU;121.0;89700.0;Saint-Quentin-Le-Verger;France;biocoopgerminal@wanadoo.fr;4.0;nan;33 386 552 331;https://www.biocoop.fr;nan;FR5459728;nan;nan;nan;nan;nan;nan;GERMINAL;nan;nan;nan;nan;TONNERRE;Yonne;Bourgogne;nan;nan;nan;nan;33 386 544 584;nan;nan;De 50 à 99;Autres commerces de détail alimentaires en magasin spécialisé;4729;Autres commerces de détail alimentaires en magasin spécialisé;4729Z;nan;SA coopérative de consommation à conseil d'administration;2018;Agence;nan;nan;nan;nan;nan;nan;De 0 à 9;nan
1;nan;31 440 010 200 013;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;FR1250501;M.;Patrick;nan;LEPAGE;Dirigeant Principal;Fonction principale;nan;nan;nan;nan;nan;BLOIS;Loir-et-Cher;Centre;nan;nan;nan;nan;nan;nan;nan;De 0 à 9;Autres commerces de détail alimentaires en magasin spécialisé;4729;Autres commerces de détail alimentaires en magasin spécialisé;4729Z;nan;Commerçant;1978;Siège;nan;nan;nan;nan;nan;nan;nan;nan
2;LE CHARANCON;33 249 284 200 072;10 Rue Fresnet Remy Pascal;121.0;12100.0;Verzy;France;biocoopducres@orange.fr;nan;2713705 EUR;33 565 606 341;http://www.biocoop.fr;nan;FR0867237;Mme;Marie-Pierre;nan;LAURENT;Dirigeant Principal;Fonction principale;BIOCOOP DU CRES;nan;nan;ROND POINT DE RAUJOLLES;nan;CREISSELS;Aveyron;Midi-Pyrénées;nan;nan;nan;nan;33 565 623 199;nan;nan;De 10 à 19;Autres commerces de détail alimentaires en magasin spécialisé;4729;Autres commerces de détail alimentaires en magasin spécialisé;4729Z;nan;Autre SARL coopérative;1985;Siège;nan;nan;nan;2017.0;De 2 à 5 millions EUR;2017.0;nan;2713705 EUR
3;AU PANIER VERT DE LA CROIX AU BOIS;33 791 953 400 020;RUE DE MESSINES;121.0;59236.0;Cramant;France;paniervert.frelinghien@orange.fr;1.0;3235592 EUR;33 320 398 649;http://www.vrankenpommery.fr;nan;FR1541833;Mme;Marie-Odile;nan;SMETS;Président du Conseil;Fonction principale;SOC COOP AGRI PANIER VERT CROIX AU BOIS;nan;nan;3862 HAMEAU DE LA CROIX AU BOIS;nan;FRELINGHIEN;Nord;Nord-Pas-de-Calais;nan;nan;nan;nan;33 328 536 931;nan;nan;De 20 à 49;Autres commerces de détail alimentaires en magasin spécialisé;4729;Autres commerces de détail alimentaires en magasin spécialisé;4729Z;nan;Société coopérative agricole;1986;Siège;nan;nan;nan;2015.0;De 2 à 5 millions EUR;2015.0;De 20 à 49;nan
4;LE PALAIS DES THES;33 975 263 600 078;7 RUE DE NICE;121.0;75011.0;Avize;France;ecole@palaisdesthes.com;4.0;nan;33 143 569 090;http://www.palaisdesthes.com;nan;FR0173459;M.;François-Xavier;nan;Delmas;Président du Conseil;Fonction principale;nan;nan;nan;nan;nan;PARIS 11;Paris;Île-de-France;nan;nan;nan;nan;33 143 569 200;nan;nan;De 100 à 249;Autres commerces de détail alimentaires en magasin spécialisé;4729;Autres commerces de détail alimentaires en magasin spécialisé;4729Z;nan;SA à conseil d'administration (s.a.i.);1997;Agence;nan;nan;nan;nan;nan;nan;nan;nan
5;LA FROMAGERE;38 148 695 000 045;26 RUE CHAMPENOIS;121.0;77510.0;Crouttes-Sur-Marne;France;boistayerick@hotmail.fr;1.0;1318620 EUR;33 164 209 468;http://www.champagne-derot-delugny.fr;nan;FR0351913;Mme;Irène;nan;D HONDT;Dirigeant Principal;Fonction principale;nan;nan;nan;nan;nan;DOUE;Seine-et-Marne;Île-de-France;nan;nan;nan;nan;nan;nan;nan;De 10 à 19;Autres commerces de détail alimentaires en magasin spécialisé;4729;Autres commerces de détail alimentaires en magasin spécialisé;4729Z;nan;Société à responsabilité limitée (sans autre indication);1991;Siège;nan;nan;nan;2015.0;De 1 à 2 millions EUR;2015.0;De 10 à 19;nan
6;LE POIS TOUT VERT;38 337 606 800 102;8 RUE DE LA DESIREE;121.0;86100.0;Ludes;France;ptv1leg@wanadoo.fr;4.0;nan;33 549 510 121;http://www.lepoistoutvert.com;nan;FR9273332;nan;nan;nan;nan;nan;nan;nan;nan;nan;ZONE COMMERCIALE LA DESIREE;nan;CHATELLERAULT;Vienne;Poitou-Charentes;nan;nan;nan;nan;33 549 863 710;nan;nan;De 20 à 49;Autres commerces de détail alimentaires en magasin spécialisé;4729;Autres commerces de détail alimentaires en magasin spécialisé;4729Z;nan;Autre SA coopérative à conseil d'administration;2018;Agence;nan;nan;nan;nan;nan;nan;De 10 à 19;nan
7;LE HERON BLEU;38 748 920 600 038;5 RUE LOUIS GUILLOUX;121.0;35600.0;Ludes;France;magasin@leheronbleu.fr;3.0;2014779 EUR;33 299 722 108;http://bereche.com/;nan;FR1952294;Mme;Catherine;nan;BELLANGER;Dirigeant Principal;Fonction principale;nan;nan;nan;ZA DE LA PORTE;nan;REDON;Ille-et-Vilaine;Bretagne;nan;nan;nan;nan;33 299 725 036;nan;nan;De 10 à 19;Autres commerces de détail alimentaires en magasin spécialisé;4729;Autres commerces de détail alimentaires en magasin spécialisé;4729Z;nan;SARL coopérative ouvrière de production (SCOP);1992;Siège;nan;nan;nan;2013.0;De 2 à 5 millions EUR;2013.0;nan;nan
8;BIO COMMINGES;38 904 255 700 048;ZA LE PABAN;121.0;31800.0;Le Mesnil-Sur-Oger;France;nan;6.0;4100390 EUR;33 562 008 300;http://www.biocoop.fr;nan;FR0758829;M.;Didier;nan;CHIA;Dirigeant Principal;Fonction principale;nan;nan;nan;RD 817;nan;ESTANCARBON;Haute-Garonne;Midi-Pyrénées;nan;nan;nan;nan;33 562 008 301;nan;nan;De 20 à 49;Autres commerces de détail alimentaires en magasin spécialisé;4729;Autres commerces de détail alimentaires en magasin spécialisé;4729Z;nan;Autre SARL coopérative;1992;Siège;nan;nan;nan;2018.0;De 2 à 5 millions EUR;2018.0;De 10 à 19;4088954 EUR
9;LA MAISON DU GERS ET DE L'ARMAGNAC;39 672 032 800 030;RTE DE MIRANDE;121.0;32000.0;Avize;France;nan;1.0;83280 EUR;33 562 617 702;https://champagnechalerouxghys.fr/;nan;FR2146490;M.;Jean;nan;DAUZERE PERES;Dirigeant Principal;Fonction principale;nan;nan;nan;MAISON DE L'AGRICULTURE;nan;AUCH;Gers;Midi-Pyrénées;nan;nan;nan;nan;nan;nan;nan;De 10 à 19;Autres commerces de détail alimentaires en magasin spécialisé;4729;Autres commerces de détail alimentaires en magasin spécialisé;4729Z;nan;Société à responsabilité limitée (sans autre indication);1967;Siège;nan;nan;nan;2018.0;Moins de 500 000 EUR;2018.0;nan;62797 EUR
10;BIOTOPE RESEAU BIOCOOP;39 747 931 200 027;20 rue D'Oger;121.0;84000.0;Avize;France;nan;1.0;2440289 EUR;+33 3 26 57 52 40;http://www.champagne-simon-selosse.fr/;nan;FR0241254;M.;Dominique;nan;GRAIN;Dirigeant Principal;Fonction principale;nan;nan;nan;nan;nan;AVIGNON;Vaucluse;Provence-Alpes-Côte-d'Azur;nan;nan;nan;nan;33 490 864 533;nan;nan;De 10 à 19;Autres commerces de détail alimentaires en magasin spécialisé;4729;Autres commerces de détail alimentaires en magasin spécialisé;4729Z;nan;Société à responsabilité limitée (sans autre indication);1994;Siège;nan;nan;nan;2015.0;De 2 à 5 millions EUR;2015.0;De 10 à 19;nan
